IndependentA,IndependentB,IndependentC,IndependentD,ControlA,ControlB,ControlC,Dependentvariable
0.567625,1.194007,0.27389,58.901473,105122,44027.96484,19310.67961,2.69351072
0.608718,3.260707,0.273231,186.227698,205.8990021,61128.52734,25876.28866,16.60466802
0.624448,5.432623,0.260188,385.112831,85.4534988,55080.59766,13390.90909,6.569246532
0.608032,0.925663,0.235117,181.15302,85.4534988,57949.48438,2575.257732,7.331439149
0.547811,0.907196,0.214536,319.262467,125880,49467.54736,3277.669903,9.624188277
0.446174,0.923829,0.228831,226.855621,348.2640076,73219.28906,9575,5.332447843
0.342957,3.883752,0.287607,221.444903,129771,85819.86328,39985,9.959919678
0.319565,4.843712,0.348483,433.126388,129771,74313.54688,35421.875,13.97390425
0.406818,4.96862,0.452273,169.498066,162425,91178.80078,23457,20.75210833
0.546854,3.787074,0.557165,185.513977,1470.349976,104590.7344,14252,13.34728437
0.686801,5.602806,0.652326,46.552819,161260,97305.35156,23317.47573,46.87749993
0.815654,3.190624,0.735508,175.120038,167699,128120.5703,13919.58763,15.87450787
0.940429,1.285761,0.794876,227.836443,178363,129922.8789,8303.030303,22.74961538
1.086114,3.652098,0.830749,231.735992,178363,140521.0781,23036.08247,12.57020286
1.457446,8.86616,0.829536,234.318517,199872,143909.1406,28880.58252,19.58953802
1.990653,22.781816,0.797156,133.782821,821.9459839,178289.7656,15472,24.48571012
2.394461,47.657009,0.757068,242.811967,160292,147787.1953,17178.78788,16.43167673
2.905674,24.256081,0.681005,433.211674,1386.459961,144425.5469,5605.154639,9.119210492
3.212863,7.274456,0.600705,325.522586,472.2980042,130573.1758,2536,15.44749171
3.184273,27.259268,0.534499,157.60891,184643,102748.9688,6005,2.368543856
2.912315,31.657276,0.481111,414.050291,1187.400024,114644.9688,11436.27451,32.52914078
2.429296,18.839114,0.426339,476.987915,178808,66767.0332,12100,39.70201506
1.87468,22.905977,0.368255,344.763532,128146,82411.88281,8855.555556,11.28029255
1.548811,34.953369,0.328255,942.219877,128146,76305.55469,8882.828283,14.34991289
1.218868,28.42567,0.273459,416.987678,128146,70786.0625,7663.72549,22.69911893
0.977249,13.382997,0.231818,381.124164,128146,73092.25977,12027,10.26450194
0.747149,6.001345,0.211988,275.977399,129477,66732.03125,7863.265306,20.35927307
0.208883,0.521665,0.216854,126.712947,107.197998,27769.63184,9569.607843,14.74042062
0.16398,0.301133,0.212082,761.126918,107.197998,9068.881836,8737.373737,1.884144368
